location,location2,location3
Afghanistan,Afghanistan,AFGHANISTAN
Albania,Albania,ALBANIA
American Samoa,American Samoa,AMERICAN SAMOA
Andorra,Andorra,ANDORRA
Angola,Angola,ANGOLA
Antigua and Barbuda,Antigua and Barbuda,ANTIGUA AND BARBUDA
Egypt,Arab Republic of Egypt,EGYPT
Argentina,Argentina,ARGENTINA
Barbados,Barbados,BARBADOS
Belize,Belize,BELIZE
Bermuda,Bermuda,BERMUDA
Bosnia and Herzegovina,Bosnia and Herzegovina,BOSNIA AND HERZEGOVINA
United States Virgin Islands,British Virgin Islands,"VIRGIN ISLANDS,BRITISH"
Brunei Darussalam,Brunei Darussalam,BRUNEI
Burkina Faso,Burkina Faso,BURKINA FASO
Canada,Canada,CANADA
Central African Republic,Central African Republic,CENTRAL AFRICAN REPUBLIC
Australia,Commonwealth of Australia,AUSTRALIA
Dominica,Commonwealth of Dominica,DOMINICA
Bahamas,Commonwealth of the Bahamas,BAHAMAS
Northern Mariana Islands,Commonwealth of the Northern Mariana Isl,NORTHERN MARIANA ISLANDS
Comoros,Comoros,COMOROS
Cook Islands,Cook Islands,COOK ISLANDS
Czechia,Czech Republic,CZECH REPUBLIC
Algeria,Democratic People,ALGERIA
Democratic People's Republic of Korea,Democratic People,"KOREA,DEMOCRATIC PEOPLE'S REPUBLIC OF"
Democratic Republic of the Congo,Democratic Republic of Congo,"CONGO,THE DEMOCRATIC REPUBLIC OF THE"
Sao Tome and Principe,Democratic Republic of Sao Tome and Prin,SAO TOME AND PRINCIPE
Sri Lanka,Democratic Socialist Republic of Sri Lan,SRILANKA
Dominican Republic,Dominican Republic,DOMINICAN REPUBLIC
Timor-Leste,East Timor,EAST TIMOR
Estonia,Estonia,ESTONIA
Ethiopia,Federal Democratic Republic of Ethiopia,ETHIOPIA
Germany,Federal Republic of Germany,GERMANY
Nigeria,Federal Republic of Nigeria,NIGERIA
Micronesia (Federated States of),Federated States of Micronesia,"MICRONESIA,FEDERATED STATES OF"
Saint Kitts and Nevis,Federation of Saint Kitts and Nevis,SAINT KITTS AND NEVIS
Brazil,Federative Republic of Brazil,BRAZIL
France,France Republic,FRANCE
Gabon,Gabonese Republic,GABON
Georgia,Georgia,GEORGIA
Luxembourg,Grand Duchy of Luxembourg,LUXEMBOURG
Greenland,Greenland,GREENLAND
Grenada,Grenada,GRENADA
Guyana,Guyana,GUYANA
Jordan,Hashemite Kingdom of Jordan,JORDAN
Greece,Hellenic Republic,GREECE
Papua New Guinea,Independent State of Papua New Guinea,PAPUA NEW GUINEA
Samoa,Independent State of Samoa,SAMOA
Ireland,Ireland,IRELAND
Iran (Islamic Republic of),Islamic Republic of Iran,IRAN
Mauritania,Islamic Republic of Mauritania,MAURITANIA
Pakistan,Islamic Republic of Pakistan,PAKISTAN
Italy,Italian Republic,ITALY
Jamaica,Jamaica,JAMAICA
Japan,Japan,JAPAN
Belgium,Kingdom of Belgium,BELGIUM
Bhutan,Kingdom of Bhutan,BHUTAN
Cambodia,Kingdom of Cambodia,CAMBODIA
Denmark,Kingdom of Denmark,DENMARK
Lesotho,Kingdom of Lesotho,LESOTHO
Morocco,Kingdom of Morocco,MOROCCO
Nepal,Kingdom of Nepal,NEPAL
Norway,Kingdom of Norway,NORWAY
Saudi Arabia,Kingdom of Saudi Arabia,SAUDI ARABIA
Spain,Kingdom of Spain,SPAIN
Eswatini,Kingdom of Swaziland,SWAZILAND
Sweden,Kingdom of Sweden,SWEDEN
Thailand,Kingdom of Thailand,THAILAND
Netherlands,Kingdom of the Netherlands,NETHERLANDS
Tonga,Kingdom of Tonga,TONGA
Kyrgyzstan,Kyrgyz<U+00A1><U+00A1>Republic,KYRGYZSTAN
Lao People's Democratic Republic,Lao People,LAOS
Malaysia,Malaysia,MALAYSIA
Mongolia,Mongolia,MONGOLIA
New Zealand,New Zealand,NEW ZEALAND
Niue,Niue,NIUE
Uruguay,Oriental Republic of Uruguay,URUGUAY
Bangladesh,People,BANGLADESH
China,Peoples Republic of China,CHINA
Portugal,Portuguess Republic,PORTUGAL
Monaco,Principality of Monaco,MONACO
Puerto Rico,Puerto Rico,PUERTO RICO
Montenegro,Reoublic of Montenegro,MONTENEGRO
Belarus,Repubic of Belarus,BELARUS
Armenia,Republic of Armenia,ARMENIA
Austria,Republic of Austria,AUSTRIA
Azerbaijan,Republic of Azerbaijan,AZERBAIJAN
Benin,Republic of Benin,BENIN
Bolivia (Plurinational State of),Republic of Bolivia,BOLIVIA
Botswana,Republic of Botswana,BOTSWANA
Bulgaria,Republic of Bulgaria,BULGARIA
Burundi,Republic of Burundi,BURUNDI
Cameroon,Republic of Cameroon,CAMEROON
Cabo Verde,Republic of Cape Verde,CAPE VERDE
Chad,Republic of Chad,CHAD
Chile,Republic of Chile,CHILE
Colombia,Republic of Colombia,COLOMBIA
Congo,Republic of Congo,CONGO
Costa Rica,Republic of Costa Rica,COSTA RICA
Côte d'Ivoire,Republic of Cote d<U+00A1><U+00AF>Ivoire,COTE D<U+00A1><U+00AF>IVOIRE
Croatia,Republic of Croatia,CROATIA
Cuba,Republic of Cuba,CUBA
Cyprus,Republic of Cyprus,CYPRUS
Djibouti,Republic of Djibouti,DJIBOUTI
Ecuador,Republic of Ecuador,ECUADOR
El Salvador,Republic of El Salvador,EL SALVADOR
Equatorial Guinea,Republic of Equatorial Guinea,EQUATORIAL GUINEA
Fiji,Republic of Fiji Islands,FIJI
Finland,Republic of Finland,FINLAND
Ghana,Republic of Ghana,GHANA
Guatemala,Republic of Guatemala,GUATEMALA
Guinea,Republic of Guinea,GUINEA
Guinea-Bissau,Republic of Guinea-Bissau,GUINEA-BISSAU
Haiti,Republic of Haiti,HAITI
Honduras,Republic of Honduras,HONDURAS
Hungary,Republic of Hungary,HUNGARY
Iceland,Republic of Iceland,ICELAND
Indonesia,Republic of Indonesia,INDONESIA
Iraq,Republic of Iraq,IRAQ
Kazakhstan,Republic of Kazakhstan,KAZAKHSTAN
Kenya,Republic of Kenya,KENYA
Kiribati,Republic of Kiribati,KIRIBATI
Republic of Korea,Republic of Korea,"KOREA, REPUBLIC OF"
Latvia,Republic of Latvia,LATVIA
Liberia,Republic of Liberia,LIBERIA
Lithuania,Republic of Lithuania,LITHUANIA
